"Latitude.DD","Longitude.DD","SamplePosition","pH","EC.dSm","NH4.ppm","NO3.ppm","K2O.ppm","P2O5.ppm","SOC.pct","Sand.pct","Silt.pct","Clay.pct"
5.5997,-73.64629,"InsideGreenhouse",7.36,2.88,51.48,117.66,545.47,471.76,1.34,33.74,27,39.27
5.5997,-73.64629,"OutsideGreenhouse",5.66,0.33,13.53,6.95,46.77,138.14,2.34,36.12,22.79,41.1
5.59992,-73.65493,"InsideGreenhouse",6.19,4.44,58.42,279.3,522.12,451.9,1.11,36.24,16.65,47.11
5.59992,-73.65493,"OutsideGreenhouse",6.06,0.4,13.41,5.07,247.16,124.53,1.61,32.68,26.61,40.72
5.56696,-73.54379,"InsideGreenhouse",7.09,1.87,43.48,47.1,205.16,34.79,0.88,36.72,24.59,38.69
5.56696,-73.54379,"OutsideGreenhouse",6.32,1.33,41.73,41.73,97.46,122.99,0.66,24.52,26.64,48.84
5.56897,-73.54776,"InsideGreenhouse",5.76,3.03,61.48,70.52,361.03,172.24,0.76,62.99,10.46,26.55
5.56897,-73.54776,"OutsideGreenhouse",6.56,0.74,7.25,4.71,74.11,28.27,0.68,28.65,20.56,50.79
5.57822,-73.53723,"InsideGreenhouse",7.55,2.93,56.24,132.44,631.58,2372.83,0.79,54.79,16.55,28.66
5.57822,-73.53723,"OutsideGreenhouse",7.83,2.15,54.71,63.83,553.56,32.89,1.12,28.18,6.49,65.33
5.57294,-73.53574,"InsideGreenhouse",7.89,2.97,36.32,72.64,497.85,345.75,0.93,52.12,14.55,33.33
5.57294,-73.53574,"OutsideGreenhouse",7.14,2.15,41.75,59.9,101.74,2252.52,0.08,56.18,14.54,29.28
5.6063,-73.56381,"InsideGreenhouse",7.78,2.33,43.6,78.12,388.52,276.78,0.66,42,16.57,41.43
5.6063,-73.56381,"OutsideGreenhouse",7.64,0.84,18.15,19.96,58.75,546.57,0.25,52.15,16.55,31.29
5.73387,-73.60279,"InsideGreenhouse",6.77,1.01,34.66,34.66,360.52,176.98,2.24,29.59,24.76,45.66
5.73387,-73.60279,"OutsideGreenhouse",4.56,0.09,13.84,10.2,63.25,180.28,3.7,41.85,26.74,31.4
5.7491,-73.58936,"InsideGreenhouse",6.77,1.97,40.46,44.14,460.61,208.35,4.07,51.51,3.48,45.01
5.7491,-73.58936,"OutsideGreenhouse",5.81,0.27,21.35,5.15,51.86,239.46,4.34,53.52,5.53,40.96
5.74609,-73.59322,"InsideGreenhouse",6.73,3.11,23.9,148.92,691.64,832.91,3.49,43.35,13.7,42.95
5.74609,-73.59322,"OutsideGreenhouse",5.22,0.1,9.54,7.34,83.55,153.3,2.72,29.21,21.83,48.96
5.72636,-73.58957,"InsideGreenhouse",6.34,1.83,20.17,33,173.76,427.46,2.35,31.27,32.02,36.71
5.72636,-73.58957,"OutsideGreenhouse",5.41,0.18,5.84,2.55,1.95,214.4,1.78,23.47,46.08,30.45
5.72933,-73.6,"InsideGreenhouse",6.54,2.89,33.09,125,500.14,2109.98,3.68,45.4,21.88,32.72
5.72933,-73.6,"OutsideGreenhouse",5.15,0.1,8.84,4.42,13.02,396.41,1.4,45.32,23.96,30.72
5.72162,-73.5958,"InsideGreenhouse",7.3,0.81,4.56,21.87,602.07,357.81,1.73,47.89,9.53,42.58
5.72162,-73.5958,"OutsideGreenhouse",5.37,0.06,5.84,3.28,6.83,70.66,1.47,29.57,33.9,36.54
5.70499,-73.60337,"InsideGreenhouse",6.94,2.18,25.63,58.59,13.96,618.81,2.18,35.43,21.79,42.77
5.70499,-73.60337,"OutsideGreenhouse",5.16,0.19,13.18,4.39,11.02,393.96,3.16,31.4,25.85,42.75
5.70504,-73.60286,"InsideGreenhouse",5.54,0.28,5.82,9.46,370.97,357.86,2.63,33.8,21.66,44.54
5.70504,-73.60286,"OutsideGreenhouse",5.13,0.09,7.28,4.37,9.67,79.25,2.06,40.7,13.56,45.74
5.7175,-73.60461,"InsideGreenhouse",7.06,2.14,23.72,69.33,457.64,403.91,3.19,54.74,1.42,43.84
5.7175,-73.60461,"OutsideGreenhouse",4.92,0.22,25.53,5.92,14.96,254.99,2.47,45.88,7.61,46.5
5.68364,-73.58733,"InsideGreenhouse",7.5,2.36,40.25,58.54,522.14,526.14,2.08,26.13,23.81,50.06
5.68364,-73.58733,"OutsideGreenhouse",6.14,0.47,33.62,6.21,118.24,435.49,2.65,26.22,31.91,41.87
5.73195,-73.60014,"InsideGreenhouse",6.12,1.24,31.09,43.89,482.82,611.2,3.46,46.49,7.53,45.98
5.73195,-73.60014,"OutsideGreenhouse",5.74,0.14,7.27,2.55,14.99,253.73,2.45,30.61,21.65,47.74
5.70725,-7.36013,"InsideGreenhouse",5.92,1.63,38.27,32.8,4424.75,746.32,1.62,22.36,29.8,47.84
5.70725,-7.36013,"OutsideGreenhouse",5.68,0.54,5.12,2.56,36.69,259.12,0.85,7.83,44.15,48.02
5.69609,-73.60425,"InsideGreenhouse",6.8,2.07,20.01,70.94,783.3,583.5,4.25,30.59,11.53,57.87
5.69609,-73.60425,"OutsideGreenhouse",5.03,0.06,6.55,3.27,8.48,175.55,2.24,32.61,19.63,47.76
5.63568,-73.63783,"InsideGreenhouse",4.2,2.5,62.27,77.84,527.57,1121.29,5.48,39.99,23.17,36.83
5.63568,-73.63783,"OutsideGreenhouse",7.46,0.96,16.05,16.05,264.37,102.72,1.14,19.14,34.77,46.09
5.62646,-73.63412,"InsideGreenhouse",7.18,2.24,42.58,34.07,331.83,300.71,1.11,26.65,30.97,42.38
5.62646,-73.63412,"OutsideGreenhouse",7.56,0.54,8.84,7.48,303.05,339.28,1.51,28.8,32.96,38.24
5.67968,-73.62343,"InsideGreenhouse",6.85,8.15,46.03,86.95,474.59,1297.23,1.73,28.62,31,40.38
5.67968,-73.62343,"OutsideGreenhouse",5.31,0.32,23.18,4.09,74.43,475.29,2.64,32.73,22.83,44.44
5.62474,-73.59042,"InsideGreenhouse",7.22,3.02,39.1,45.89,462.04,213.91,0.64,28.83,28.87,42.29
5.62474,-73.59042,"OutsideGreenhouse",4.59,1.76,0.3,10.58,14.87,92.57,0.07,26.17,32.06,41.77
5.62104,-73.59815,"InsideGreenhouse",5.97,3.04,0.19,21.93,383.53,112.77,0.81,27.35,18.57,54.08
5.62104,-73.59815,"OutsideGreenhouse",7.24,0.56,0.23,7.45,82.38,155.79,1.48,35.19,20.66,44.15
5.62326,-73.61322,"InsideGreenhouse",6.04,3.45,0.22,18.72,287.35,488.84,1.9,18.57,30.94,50.48
5.62326,-73.61322,"OutsideGreenhouse",6.95,0.42,0.35,4.07,45.37,75.31,1.3,10.77,28.8,60.43
5.61935,-73.59302,"InsideGreenhouse",7.55,3.05,0.28,27.12,289.65,474.94,0.88,35.1,22.71,42.18
5.61935,-73.59302,"OutsideGreenhouse",7.61,1.74,0.12,18.74,65.01,96.09,0.08,33.77,3.87,62.36
5.66261,-73.58071,"InsideGreenhouse",6.58,3.34,28.84,89.91,450.76,940.81,1.09,26.94,38.96,34.09
5.66261,-73.58071,"OutsideGreenhouse",6.38,0.44,9.83,4.07,67.69,327.94,1.03,24.97,45.02,30.01
5.66613,-73.55704,"InsideGreenhouse",4.4,0.48,36.84,35.47,187.31,118.23,0.56,37.78,35.09,27.13
5.66613,-73.55704,"OutsideGreenhouse",4.75,0.14,13.59,3.4,38.27,93.8,0.36,33.95,36.99,29.06
5.68396,-73.5046,"InsideGreenhouse",4.71,3.31,34.39,261.33,251.84,321.67,3.68,34.19,29.21,36.61
5.68396,-73.5046,"OutsideGreenhouse",5.04,0.15,11.38,2.41,31.46,161.12,4.35,40.17,29.3,30.54
5.64318,-73.56898,"InsideGreenhouse",7.05,4.06,22.12,49.34,641.8,775.98,1.6,24.69,32.97,42.34
5.64318,-73.56898,"OutsideGreenhouse",6.52,0.32,6.11,3.39,491.73,412.69,1.72,18.83,30.84,50.32
5.6578,-73.57273,"InsideGreenhouse",3.93,1.62,71.58,88.62,190.13,168.39,0.3,55.15,18.76,26.1
5.6578,-73.57273,"OutsideGreenhouse",4.71,0.11,7.48,3.74,48.83,98.69,0.86,35.96,34.97,29.07
5.66042,-73.5825,"InsideGreenhouse",7.11,2.04,16.89,30.41,316.23,106.78,1.2,32.3,38.8,28.9
5.66042,-73.5825,"OutsideGreenhouse",5.23,0.6,7.83,6.81,43.19,373.82,3.89,12.48,43.15,44.37
5.65975,-73.56848,"InsideGreenhouse",7.53,3.34,58.03,27.31,216.75,350.41,0.79,33.64,3.88,62.48
5.65975,-73.56848,"OutsideGreenhouse",7.56,1.56,25.84,12.06,60.47,104.53,0.18,4.17,67.81,28.03
5.65957,-73.56709,"InsideGreenhouse",7.69,2.21,24.16,48.33,228.42,114.77,1.38,20.51,47.28,32.21
5.65957,-73.56709,"OutsideGreenhouse",7.77,0.52,7.53,11.63,30.06,121.95,1.29,31.03,34.18,34.79
5.66135,-73.58025,"InsideGreenhouse",6.92,1.94,27.58,49.98,418.82,516.36,2.78,24.34,24.12,51.54
5.66135,-73.58025,"OutsideGreenhouse",7.86,0.54,8.22,11.64,130.29,191.48,1.82,20.75,42.39,36.86
5.62419,-73.55083,"InsideGreenhouse",5.22,4.11,72.88,144.06,317.3,606.61,2.68,15.46,21.69,62.85
5.62419,-73.55083,"OutsideGreenhouse",6.08,0.62,11.87,7.46,146.95,890.97,2.29,29.63,21.7,48.67
5.56617,-73.53345,"InsideGreenhouse",7.64,1.81,34.46,43.07,437.15,245.22,2.08,11.99,44.73,43.28
5.56617,-73.53345,"OutsideGreenhouse",7.98,0.31,11.34,5.84,199.54,201.94,1.59,14.32,44.59,41.09
